101,PC HARDWARE MAINTENANCE AND TROUBLE SHOOTING,DR.S.K.CHAOUHAN,S.K.KATARIA PUBLICATIONS,170,YES,,,,2005-01-18
102,COMPUTER SYSTEM ARCHITECTURE,V.K.JIAN,S.K KATARIA PUBLICATIONS,185,YES,,,,2005-01-18
103,MICROPROCESSORS 8085 TO PENTIUM & INTERFACING DEVICES,trident share price,DHANPAT RAI,150,YES,,,,2005-01-18
104,OPENGL GAME PROGRAMMING,KEVIN HAWKINS & DAVE ASTLE,PRIMA PUBLICATIONS,0,YES,,,,2005-01-18
105,MICROPROCESSOR 8086 PROGRAMMING & INTERFACING,A.NAGOOR KANI,RBA PUBLICATIONS,205,YES,,,,2005-01-18
106,RANDOMIZED ALGORITHMS,RAJEEV MOTWANI & PRABHAKAR RAGHAVAN,,395,YES,,,,2005-01-18
107,MICROSOFT OFFICE 2000 COMPLETE,,BPB PUBLICATION,225,YES,,,,2005-01-18
108,AUTOMATA THEORY & FORMAL LANGUAGES,ADESH K PANDEY,KATARIA PUBLICATIONS,110,NO,,,,2005-01-18
109,FUNDAMENTALS OG SOFTWARE ENGINEERING,VIPIN SUXENA/ MANUJ/ SHAILENDRA,KATARIA PUBLICATIONS,135,YES,,,,2005-01-18
110,COMPUTER GRAPHICS & MULTIMEDIA,G.S.BALUJA,DHANPAT RAI PUBLICATIONS,160,YES,,,,2005-01-18
111,UNDERSTANDING C,G.S.BALUJA/ G.K.BALUJA,DHANPAT RAI PUBLICATIONS,150,YES,,,,2005-01-18
112,DATA STRUCTURES THROUGH C,G.S.BALUJA,DHANPAT RAI PUBLICATIONS,150,YES,,,,2005-01-18
113,INTERNET PROGRAMMING,KRIS JAMSA/ KEN COPE,GALGOTIA PUBLICATIONS,250,YES,,,,2005-01-18
114,THEORY OF COMPUTER SCIECE,K.L.P.MISHRA/ N.CHANDRASEKHARAN,PRENTICE HALL,95,YES,,,,2005-01-18
115,GUI WITH X-WINDOWS AND MOTIF,R.MURALIDHAR RAO/ G.L.GANGA PRASAD,NEW AGE PUBLICATION,0,YES,,,,2005-01-19
116,A BOOK ON C,AL KELLEY AND IRA POHL,PERSON EDUCATION,0,YES,,,,2005-01-19
117,SOFTWARE ENGINEERING,SANGEETHA SABHARWAL,UMESH PUBLICATION,150,YES,,,,2005-01-19
118,ENGINEERING GRAPHICS,P.I.VARGHESE,V.I.P.PUBLICATION,170,YES,,,,2005-01-19
119,A TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL -I,B.L.THERAJA/ A.K.THERAJA,S.CHAND PUBLICATION,180,YES,,,,2005-01-19
120,ENGINEERING MECHANICS,S.TIMOSHENKO/ D.H.YOUNG,MCGRAW-HILL,295,YES,,,,2005-01-19
121,A TEXT BOOK OF APPLIED MECHANICS DYNAMICS & STATICS,I.B.PRASAD,KHANNA PUBLICATIONS,175,YES,,,,2005-01-19
122,S.CHAND'S TEXT BOOK OF PHYSICS,P.VIVEKANANDAN,S.CHAND PUBLICATIONS,125,YES,,,,2005-01-19
123,MATHEMATICS,DR.R.K.GUPTHA/ PR.J.P.ARYA,PRAKASHAN KRISHNA,270,YES,,,,2005-01-19
124,A TEXT BOOK OF ELECTRICAL TECHNOLOGY VOL-II,B.L.THERAJA/ A.K.THERAJA,S.CHAND PUBLICATION,160,YES,,,,2005-01-19
125,A TEXT BOOK OF APPLIED MECHANICS,I.B.PRASAD,KHANNA PUBLICATIONS,175,YES,,,,2005-01-19
126,THINKING IN C++,SUNIL K PANDEY,KATARIA PUBLICATIONS,150,YES,,,,2005-01-19
127,ELEMENTARY ENGINEERING MATHEMATICS,DR.B.S.GREWAL,KHANNA PUBLICATIONS,125,YES,,,,2005-01-19
128,ENGINEERING CHEMISTRY,JAIN & JAIN,DHANPAT RAI PUBLISHING COMPANY,185,YES,,,,2005-01-19
129,FUNDAMENTALS OF COMPUTER ALGORITHMS,HOROWITZ/ SAHNI,,100,YES,,,,2005-02-09
130,HISTORY OF SCIENCE & TECHNOLOGY,R.V.G.MENON,,70,YES,,,,2005-02-09
131,COMMUNICATION SYSTEMS,SIMON HAYKIN,,55,YES,,,,2005-02-09
132,ARCHITECTURE AND CONCEPTUAL DESIGN OF THE UNIX SYSTEM,PROF.RAHUL BANERJEE,,45,YES,,,,2005-02-09
133,CIRCUITS/ DEVICES AND SYSTEMS,RALPH J SMITH/ RICHARD C.DORF,,0,YES,,,,2005-02-09
134,BASIC ELECTRONICS AND LINEAR CIRCUITS,N.N.BHARGHAVA/ D.C.KULSHESHTHA,TATA MCGRAW HILL,0,YES,,,,2005-03-17
135,DIGITAL LOGIC & COMPUTER DESIGN,M MORRIS MANO,,0,YES,,,,2005-03-17
136,A TEXT BOOK OF ENGINEERING MECHANICS,R.S.KHURMI,,0,YES,,,,2005-03-17
137,ENGINEERING MECHANICS,S.TIMOSHENKO/ D.H.YOUNG,,0,YES,,,,2005-03-17
138,SYSTEM SOFTWARE,LELAND L.BECK,,0,YES,,,,2005-03-17
139,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S.S.SASTHRY,,0,YES,,,,2005-03-17
140,HIGHER ENGINEERING MATHEMATICS,DR.B.S.GREWAL,,250,YES,,,,2005-03-17
141,SURVEYING AND LEVELLING PART 1,T.P.KANETKAR,,0,YES,,,,2005-03-17
142,ENGINEERING GRAPHICS,K.C.JOHN/ P.I.VARGHEESE,,0,YES,,,,2005-03-17
143,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S.S.SASTHRY,,0,YES,,,,2005-03-17
144,SYSTEM SOFTWARE,LELAND L.BECH,,0,YES,,,,2005-03-17
145,PROGRAMMING WITH C,SCHAUMS,,0,YES,,,,2005-03-17
146,INTRODUCTION TO AI AND EXPERT SYSTEMS,DAN W.PATTERSON,,0,YES,,,,2005-03-17
147,COMPUTER ORGANIZATION,CARL HAMACHER,,0,YES,,,,2005-03-17
148,DATA STRUCTURES USING C AND C++,AARON M/ TENENBAUM,,0,YES,,,,2005-03-17
149,DATA STRUCTURES AND ALGORITHMS,ALFRED V.AHO,,0,YES,,,,2005-03-17
150,PRINCIPLES OF COMMUNICATION SYSTEMS,TAUB.SCHILLING,,0,YES,,,,2005-03-17
151,THE INTEL MICROPROCESSOR,BARRY B BERRY,,0,YES,,,,2005-03-17
152,FRONTIERS OF ELECTRONIC COMMERSE,KALAKOTA/ WHINSTON,,0,YES,,,,2005-03-17
153,COMPILERS- PRINCIPLES/ TECHNIQUES AND TOOLS,AHO/ SETHI & ULLMAN,,0,YES,,,,2005-03-17
154,ARTIFICIAL INTELLIGENCE,PARRICH HENRY WINSTON,,0,YES,,,,2005-03-17
155,ELEMENTS OF THEORY OF COMPUTATION,HARRY R.LEWIS/ PAPADIMITRION,,0,YES,,,,2005-03-17
156,THE DESIGN OF UNIX OPERATING SYSTEM,MAURICE J BACH,,0,YES,,,,2005-03-17
157,TEST YOUR C SKILLS,YASHVANTH KANETKAR,,0,YES,,,,2005-03-17
158,POINTERS IN C,YASHVANTH KANETKAR,,0,YES,,,,2005-03-17
159,ELECTRONICS ANALOG & DIGITAL,I.J.NAGRATH,,0,YES,,,,2005-03-17
160,BASIC ELECTRONICS AND LINEAR CIRCUITS,BHARGAVA,,0,YES,,,,2005-03-17
161,DISCRETE MATHEMATICAL STRUCTURES,BERNARD KOLMAN,,0,YES,,,,2005-03-17
162,OPERATING SYSTEMS,CHARLES CROWLEY,,0,YES,,,,2005-03-17
163,AN INTRODUCTION TO FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,0,YES,,,,2005-03-17
164,DIGITAL FUNDAMENTALS,FLOYD,,0,YES,,,,2005-03-17
165,COMPUTER ORGANIZATION & ARCHITECTURE,WILLIAM STALLINGS,,0,YES,,,,2005-03-17
166,INTRODUCTION TO ALGORITHMS,CORMEN,,0,YES,,,,2005-03-17
167,ELECTRONIC COMMUNICATION SYSTEMS,KENNEDY,,0,YES,,,,2005-03-17
168,MULTIMEDIA COMPUTING/ COMMUNICATIONS & APPLICATIONS,STEINMETZ,,0,YES,,,,2005-03-17
169,DIGITAL INTEGRATED ELECTRONICS,TAUB/ SCHILLING,,0,YES,,,,2005-03-17
170,ELECTRONIC COMMERCE,GERY P. SCHNEIDER,,0,YES,,,,2005-03-17
171,COMPUTER ORGANIZATION & DESIGN,PATTERSON,,,YES,,,,2005-03-17
172,MULTIMEDIA: MAKING IT WORK,TAY VACIGHAN,,0,YES,,,,2005-03-17
173,DATABASE MANAGEMENT SYSTEM,RAGHU RAMAKRISHNAN,,0,YES,,,,2005-03-17
174,THE DESIGN AND ANALYSIS OF COMPUTER ALGORITHMS,AHO/ HOPCROFT & ULLMAN,,0,YES,,,,2005-03-17
175,DISRETE & COMBINATORIAL MATHEMATICS,RALPH P GRIMALDI,,0,YES,,,,2005-03-17
176,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0,YES,,,,2006-01-25
177,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0,YES,,,,2006-01-25
178,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0,YES,,,,2006-01-25
179,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0,YES,,,,2006-01-25
180,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,S S SASTRY,,0,YES,,,,2006-01-25
181,DATA STRUCTURES USING C,RADHA GANESAN,,265,YES,,,,2010-10-19
182,THEORY OF COMPUTATION: FORMAL LANGUAGES AND AUTOMATA,SARADHI VARMA & THIRUPATHI RAO,,225,YES,,,,2010-10-19
183,BASIC ELECTRONICS AND LINEAR CIRCUITS,N.N.BHARGAVA/ S.C.GUPTHA,,,YES,,,,2010-10-19
184,A TEXT BOOK OF COMPUTER PROGRAMMING IN C (FOR B TECH III SEMESTER),SABU G.R.,,190,YES,,,,2010-10-19
185,LINEAR PROGRAMMING,L.R.POTTI,YAMUNA PUBLICATIONS,45,YES,,,,2010-12-13
186,LINEAR CONTROL SYSTEMS WITH MATLAB APPLICATIONS,B.S.MANKE,KHANNA PUBLICATIONS,180,YES,,,,2010-12-13
187,SOFTWARE ENGINEERING,JOSPHINE MARY/ K.SWAMINATHAN,CHARULATHA PUBLICATIONS,90,YES,,,,2010-12-13
188,THEORY OF COMPUTATIONS,SUSHIL KUMAR AZAD,,160,YES,,,,2010-12-13
189,DATA STRUCTURES THROUH C++,G.S.BALUJA,,175,YES,,,,2010-12-13
190,LINEAR PROGRAMMING AND THEORY OF GAMES,R.K.GUPTHA/ MAN MOHAN,,0,YES,,,,2006-03-22
191,MICROPROCESSOR AND MICRO CONTROLLER,R.THEAGARAJAN,,0,YES,,,,2006-03-22
192,THEORY OF COMPUTATION  FORMAL LANGUAGES AND AUTOMATION THEORY,G.P.SARADHI VARMA,,0,YES,,,,2006-03-22
193,FUNDAMENTALS OF COMPUTER ORGANIZATION,M.V.L.N.RAJA RAO,,0,YES,,,,2006-03-22
194,DATA STRUCTURES THROUGH C,G.S.BALUJA,,0,YES,,,,2006-03-22
195,DATA STRUCTURES AND ALGORITHMS USING C,NITHIN UPADHYAY,,0,YES,,,,2006-03-22
196,C++ AND OBJECT ORIENTED PROGRAMMING PARADIGM,DEBASISH JANA,,0,YES,,,,2006-03-22
197,AN INTRODUCTION TO MULTIMEDIA THEORY AND FORMAL LANGUAGE,ADESH K.PANDEY,,0,YES,,,,2006-03-22
198,APPLIED MECHANICS DYNAMICS AND STATICS,I.B.PRASAD,,0,YES,,,,2006-03-22
199,CBSE PHYSICS,MATHACHAN/ LAZARUS/ JOSEPH,,0,YES,,,,2006-03-22
200,PROGRAMMING LANGUAGE,BRIAN W KERNINHAM/ DENNIS RITCHIE,,0,YES,,,,2006-08-30
201,IEE AEROSPACE AND ELECTRICAL SYSTEMS [MAGAZINE],S.BARDHAN/ F.STUDENBERG/K MORRISON,,0,YES,,,,2006-08-30
202,IEE AEROSPACE AND ELECTRICAL SYSTEMS [MAGAZINE],S.BARDHAN/ F.STUDENBERG/K MORRISON,,0,YES,,,,2006-09-01
203,COMPUTER FRONTIERS OF SEARCH,,,0,YES,,,,2006-12-01
204,INDUSTRIAL ENGINEERING AND MANAGEMENT,,,0,YES,,,,2007-02-14
205,MICROSOFT HOST INTEGRATION SERVER 2000 RESOURCE KIT,,,,YES,,,,2007-02-14
206,ENGINEERING CHEMISTRY,JAIN & JAIN,,0,YES,,,,2007-02-14
207,MAN/ THE UNKNOWN BY ALEX IN CARREL,ALEX IN CARREL,,0,YES,,,,2007-03-21
208,THE INTEL UPS BATTERY,BERRY B BERRY,,495,YES,,,,2007-08-13
209,THE INTEL UPS BATTERY,BERRY B BERRY,,495,YES,,,,2007-08-13
210,THE INTEL UPS BATTERY,BERRY B BERRY,,495,YES,,,,2007-08-13
211,COMPUTER ORGANIZATION AND DESIGN,PATTERSON AND HENNESSY WITH CD,,0,YES,,,,2007-08-13
212,COMPUTER ORGANIZATION AND DESIGN,PATTERSON AND HENNESSY WITH CD,,0,YES,,,,2007-08-13
213,SYSTEM SOFTWARE,LELEND L BECK,,0,YES,,,,2007-08-13
214,SYSTEM SOFTWARE,LELEND L BECK,,0,YES,,,,2007-08-13
215,SYSTEM SOFTWARE,LELEND L BECK,,0,YES,,,,2007-08-13
216,THE C PUZZLE BOOK,ALAN R FEUE,,150,YES,,,,2007-08-13
217,THE C PUZZLE BOOK,ALAN R FEUE,,150,YES,,,,2007-08-13
218,THE DESIGN OF UNIX OPERATING SYSTEM,BACH,,0,YES,,,,2007-08-13
219,THE DESIGN OF UNIX OPERATING SYSTEM,BACH,,0,YES,,,,2007-08-13
220,PROGRAMMING LANGUAGE,RANI SETHI,,325,YES,,,,2007-09-24
221,MOBILE COMMUNICATIONS,JOCHAN SCHILLER,,0,YES,,,,2007-09-24
222,SYSTEM SOFTWARE,LELAND L BECK,,285,YES,,,,2007-09-24
223,DATA COMMUNICATIONS & COMPUTER NETWORKS,FRED HALSALL,,395,YES,,,,2007-09-24
224,COMPUTER ARCHITECTURE,JOHN L HENNESSY/ DAVID A PATTERSON,,450,YES,,,,2007-09-24
225,ELEMENTARY ECONOMIC THEORY,K.K.DEWELT/ J.D.VARMA,,0,YES,,,,2007-09-24
226,ENGINEERING CHEMISTRY,JUHAINA AHAD,,0,YES,,,,2007-09-24
227,ARTIFICIAL INTELLIGENCE,ELAINE RITCH/ KEVIN KNIGHT,,0,YES,,,,2007-09-24
228,COMPUTER NETWORKING,JAMES F KUROSE/ KEITH W ROSE,,375,YES,,,,
229,CRYPTOGRAPHY AND NETWORK SECURITY,WILLIAM STALLINGS,225,0,YES,,,,2007-09-24
230,THE DESIGN OF THE UNIX OPERATING SYSTEM,MANSIER J BACH,,195,YES,,,,2007-09-24
231,MS SQL SERVER 2000 BIBILE,PAUL NIELSON,,0,YES,,,,2007-09-24
232,MOBILE COMMUNICATIONS,JOCHEN SCHILLER,,330,YES,,,,2007-09-24
233,MODERN INFORMATION RETRIEVAL,RICARDO BAEZA,,315,YES,,,,2008-02-07
234,MODERN INFORMATION RETRIEVAL,RICARDO BAEZA,,315,YES,,,,2008-02-07
235,C++ HOW TO PROGRAM,DIETEL,,610,YES,,,,2008-02-07
236,OPERATING SYSTEMS,GARY NUTT,,425,YES,,,,2008-02-07
237,OPERATING SYSTEMS,GARY NUTT,,425,YES,,,,2008-02-07
238,OPERATING SYSTEMS,GARY NUTT,,425,YES,,,,2008-02-07
239,COMPILERS/ PRINCIPLES/ TECHNIQUES & TOOLS,AHO/SETHI/ULLMAN,,435,YES,,,,2008-02-07
240,COMPILERS/ PRINCIPLES/ TECHNIQUES & TOOLS,AHO/SETHI/ULLMAN,,435,YES,,,,2008-02-07
241,COMPILERS/ PRINCIPLES/ TECHNIQUES & TOOLS,AHO/SETHI/ULLMAN,,435,YES,,,,2008-02-07
242,INTRODUCTION  TO AUTOMATA THEORY LANGUAGES & COMPUTATIONS,JOHN E HOPCROTT/ RAJEEV MOTURAN/ JEFFERY D VILLIAM,,325,YES,,,,2008-02-07
243,INTRODUCTION  TO AUTOMATA THEORY LANGUAGES & COMPUTATIONS,JOHN E HOPCROTT/ RAJEEV MOTURAN/ JEFFERY D VILLIAM,,325,YES,,,,2008-02-07
244,INTRODUCTION  TO AUTOMATA THEORY LANGUAGES & COMPUTATIONS,JOHN E HOPCROTT/ RAJEEV MOTURAN/ JEFFERY D VILLIAM,,325,YES,,,,2008-02-07
245,C PROGRAMMING LANGUAGE,BRAIN W. KERNINGHAN/ DENNIS M RITCHIE,,125,YES,,,,2008-02-07
246,C PROGRAMMING LANGUAGE,BRAIN W. KERNINGHAN/ DENNIS M RITCHIE,,125,YES,,,,2008-02-07
247,LET US C,YASHVANTH KANETKAR,,195,YES,,,,2008-02-07
248,LET US C,YASHVANTH KANETKAR,,195,YES,,,,2008-02-07
249,UNDERSTANDING POINTERS IN C,YASHAVANTH KANETKAR,,225,YES,,,,2008-02-07
250,UNDERSTANDING POINTERS IN C,YASHAVANTH KANETKAR,,225,YES,,,,2008-02-07
251,EMBEDDED SYSTEMS,RAJ KAMAL,,300,YES,,,,2008-02-07
252,EMBEDDED SYSTEMS,RAJ KAMAL,,300,YES,,,,2008-02-07
253,EMBEDDED SYSTEMS,RAJ KAMAL,,300,YES,,,,2008-02-07
254,THE ART OF COMPUTER PROGRAMMING,DONALD E KNUTH,,499,YES,,,,2008-02-07
255,THE ART OF COMPUTER PROGRAMMING,DONALD E KNUTH,,499,YES,,,,2008-02-07
256,DISCRETE MATHEMATICAL STRUCTURES WITH APPLICATIONS,J P TREMBLAY R.MANOHAR,,275,YES,,,,2008-02-07
257,DISCRETE MATHEMATICAL STRUCTURES WITH APPLICATIONS,J P TREMBLAY R.MANOHAR,,275,YES,,,,2008-02-07
258,THE UNIX PROGRAMMING ENVIRONMENT,BRAIN W. KERNIGHAN/ ROB PIKE,,125,YES,,,,2008-02-07
259,THE UNIX PROGRAMMING ENVIRONMENT,BRAIN W. KERNIGHAN/ ROB PIKE,,125,YES,,,,2008-02-07
260,THE UNIX PROGRAMMING ENVIRONMENT,BRAIN W. KERNIGHAN/ ROB PIKE,,125,YES,,,,2008-02-07
261,THE CIRCUIT THEORY,A CHAKRABARTHI,,245,YES,,,,2008-02-07
262,THE CIRCUIT THEORY,A CHAKRABARTHI,,245,YES,,,,2008-02-07
263,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195,YES,,,,2008-02-07
264,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195,YES,,,,2008-02-07
265,LOGIC DESIGN THEORY,NEIPENDRAN N.BISWAS,,195,YES,,,,2008-02-07
266,HOW TO SOLVE IT BY COMPUTER,R.G.DROMEY,,235,YES,,,,2008-02-07
267,HOW TO SOLVE IT BY COMPUTER,R.G.DROMEY,,235,YES,,,,2008-02-07
268,DATA STRUCTURES AND ALGORITHMS,ALFRED V.AHO/ JOHN E.HOPCROFT/ JEFFERY D. ULLMAN,,290,YES,,,,2008-02-07
269,DATA STRUCTURES AND ALGORITHMS,ALFRED V.AHO/ JOHN E.HOPCROFT/ JEFFERY D. ULLMAN,,290,YES,,,,2008-02-07
270,DATA STRUCTURES AND ALGORITHMS,ALFRED V.AHO/ JOHN E.HOPCROFT/ JEFFERY D. ULLMAN,,290,YES,,,,2008-02-07
271,FUNDAMENTALS OF DATABASE SYSTEMS,ELMASRI NAVATHE SOMAYAJULU/ GUPTHA,,350,YES,,,,2008-02-07
272,FUNDAMENTALS OF DATABASE SYSTEMS,ELMASRI NAVATHE SOMAYAJULU/ GUPTHA,,350,YES,,,,2008-02-07
273,FUNDAMENTALS OF DATABASE SYSTEMS,ELMASRI NAVATHE SOMAYAJULU/ GUPTHA,,350,YES,,,,2008-02-07
274,FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,275,YES,,,,2008-02-07
275,FORMAL LANGUAGES AND AUTOMATA,PETER LINZ,,275,YES,,,,2008-02-07
276,DISCRETE MATHEMATICS FOR COMPUTER SCIENTISTS,JOHN TRUSS,,295,YES,,,,2008-02-07
277,DISCRETE MATHEMATICS FOR COMPUTER SCIENTISTS,JOHN TRUSS,,295,YES,,,,2008-02-07
278,CONTROL SYSTEMS ENGINEERING,I.J.NAGRATH M GOPAL,,375,YES,,,,2008-02-07
